economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
India,IND,154463416,2.305160987,2,61,1,1,1,1,1,1,0,2,2,2,,,1,1,2,,,,1,2,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,4,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,1,2,,,1,1,2,2,1,,1,1,1,1,3,1,,0,1,4,1,4,2,4,5,2,2,1,0
India,IND,133167423,0.575105437,1,35,1,1,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,2,2,1,2,1,,2,,,,,,,,,,,,,,3,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,201264174,1.053093789,1,26,3,5,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,2,1,1,1,,,,,,1,1,,,,,,,,,,1,2,2,1,1,2,,1,1,1,3,1,,2,1,2,1,2,2,1,2,2,3,3,1,3,2,2,2,,,,2,,,,,,1,1,1,1,,,1,1,1,1,1,,,2,,,,,,3,4,2,3,,1,,1,1,1,1,1,4,4,4,1,1,1,1
India,IND,114810979,0.21743007,2,45,3,1,1,1,1,1,0,2,1,1,1,2,2,2,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,4,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,0,4,4,4,4,2,5,1,2,1,0
India,IND,156015043,1.056860933,2,62,2,5,2,2,1,1,0,2,1,2,,,2,2,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,1,3,3,1,2,1,2,2,,,,1,2,2,,,1,2,,,,,,,1,1,1,2,,,1,2,2,2,1,,3,3,3,3,,3,,1,0,4,1,1,2,2,3,2,2,1,0
India,IND,193595320,0.593888419,2,40,3,5,1,2,1,1,1,1,1,1,1,1,1,1,3,,,,2,,1,,,,,,1,1,,,,,,,,,,1,1,2,2,2,1,,2,2,2,,,,2,2,2,2,2,2,2,,1,2,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,5,2,,0,0,4,4,4,4,4,5,1,1,1,1
India,IND,138689404,0.734210736,1,50,1,4,1,2,1,1,0,2,1,2,,,2,3,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,1,,1,1,1,2,,,,1,2,2,2,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,4,3,1,,1,1,1,4,4,4,2,4,2,2,1,0
India,IND,141119791,0.312529466,2,40,2,3,1,1,1,1,0,1,1,1,2,,1,2,1,1,2,2,1,2,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,1,2,1,0
India,IND,141226341,2.054400092,2,40,2,5,1,2,1,1,1,2,2,1,1,1,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,1,2,1,1,2,,1,1,2,,,,2,1,1,1,1,1,2,1,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,1,4,1,,1,1,4,4,4,4,4,5,1,1,1,1
India,IND,132485699,0.903887136,1,42,1,4,1,2,1,1,0,2,1,2,,,2,2,2,,,,2,,2,1,1,2,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,5,5,5,5,,1,,0,0,4,4,4,4,4,5,2,2,0,0
