economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
India,IND,116892853,0.655547912,1,25,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,2,5,2,2,0,0
India,IND,115544545,0.21743007,1,32,3,3,1,1,1,1,0,1,1,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,1,3,1,1,2,2,2,1,1,,,1,2,2,,,1,2,,,,,,,1,2,1,2,,,1,1,2,2,1,,1,1,1,1,2,1,,0,1,4,1,4,2,2,1,1,2,1,0
India,IND,132519565,1.395642435,2,25,2,4,1,1,1,1,1,2,2,1,1,2,1,1,2,,,,2,,1,,,,,,2,1,,,,,,,,,,1,1,2,1,2,,,1,1,1,2,2,,2,2,2,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,2,3,2,,0,0,4,4,4,4,4,5,1,1,1,0
India,IND,204059840,1.562724019,2,62,1,5,1,1,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,3,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,2,2,2,,,,,,2,2,3,3,1,2,,0,0,4,4,3,4,4,5,1,2,0,0
India,IND,189388389,1.131076172,1,24,2,2,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,1,1,1,1,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,3,2,2,,0,1,4,4,4,4,4,5,1,2,0,0
India,IND,138267276,0.937634411,2,55,1,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,4,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,2,2,2,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,207875504,1.310592896,2,55,1,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,1,2,,,,,2,,,1,1,2,,,,1,2,,2,2,2,2,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,2,1,,1,0,4,4,4,4,4,5,1,2,0,0
India,IND,157448135,0.482512438,2,55,2,1,1,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,1,2,1,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,1,2,4,4,4,4,5,1,2,0,0
India,IND,141435588,1.268154407,2,16,2,3,1,1,1,1,0,1,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,191253320,2.416926705,1,43,1,4,2,2,1,1,0,1,1,1,1,2,2,1,1,2,,2,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,2,2,1,0
